Name,Operator,Type,Geared,NominalCapacity,ReeferPlugs,Dwt,Built,Flag,Speed
EVERFRONT,EVERGREENMARINECORPORATIONLTD,CC,N,12118,867,127075,2020,PANAMA,23
ONEHONOLULU,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,9592,0,96980,2011,PANAMA,23
APLSENTOSA,CMA-CGM,CC,N,13892,1200,150166,2014,MALTA,23
COSCOENGLAND,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156618,2013,"HONGKONGSAR,CHINA",24
COSCOFRANCE,COSCOSHIPPINGLINESCOLTD,CC,N,13386,1008,156605,2013,"HONGKONGSAR,CHINA",24
COSCOITALY,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156610,2014,"HONGKONGSAR,CHINA",24
COSCONETHERLANDS,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156618,2013,"HONGKONGSAR,CHINA",24
COSCOPORTUGAL,ORIENTOVERSEASCONTAINERLINE.,CC,N,13386,1008,156610,2014,"HONGKONGSAR,CHINA",24
COSCOSPAIN,COSCOSHIPPINGLINESCOLTD,CC,N,13386,1008,156572,2013,"HONGKONGSAR,CHINA",24
CSCLAUTUMN,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121270,2014,"HONGKONGSAR,CHINA",24
CSCLEASTCHINASEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121185,2014,"HONGKONGSAR,CHINA",24
CSCLSOUTHCHINASEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121270,2014,"HONGKONGSAR,CHINA",24
CSCLSPRING,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121849,2014,"HONGKONGSAR,CHINA",24
CSCLSUMMER,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121805,2014,"HONGKONGSAR,CHINA",24
CSCLYELLOWSEA,COSCOSHIPPINGLINESCOLTD,CC,N,10036,700,121193,2014,"HONGKONGSAR,CHINA",24
CMACGMALEXANDERVONHUMBOLDT,CMA-CGM,CC,N,16022,1185,186610,2013,MALTA,24
CMACGMCORTEREAL,CMA-CGM,CC,N,13830,800,165245,2010,MALTA,24
CMACGMHERMES,CMA-CGM,CC,N,15536,1800,156055,2021,MALTA,24
CMACGMJULESVERNE,CMA-CGM,CC,N,16022,1185,186673,2013,MALTA,24
CMACGMMARCOPOLO,CMA-CGM,CC,N,16022,1185,186470,2012,BAHAMAS,24
PRESIDENTEISENHOWER,CMACGMASIASHIPPINGPTE.LTD,CC,N,7831,500,93558,2005,UNITEDSTATES,24
OOCLLONDON,ORIENTOVERSEASCONTAINERLINE.,CC,N,8063,700,99518,2010,"HONGKONGSAR,CHINA",25
OOCLSOUTHAMPTON,ORIENTOVERSEASCONTAINERLINE.,CC,N,8063,710,99677,2007,"HONGKONGSAR,CHINA",25
OOCLTOKYO,ORIENTOVERSEASCONTAINERLINE.,CC,N,8063,710,99705,2007,"HONGKONGSAR,CHINA",25
OOCLCHICAGO,ORIENTOVERSEASCONTAINERLINE.,CC,N,5714,628,67278,2000,"HONGKONGSAR,CHINA",25
OOCLSANFRANCISCO,ORIENTOVERSEASCONTAINERLINE.,CC,N,5750,500,67313,2000,"HONGKONGSAR,CHINA",25
OOCLVANCOUVER,ORIENTOVERSEASCONTAINERLINE.,CC,N,5888,586,66940,2006,PANAMA,25
SEATTLEC,ORIENTOVERSEASCONTAINERLINE.,CC,N,4253,400,50500,2007,CYPRUS,25
ONEHUMBER,OCEANNETWORKEXPRESSPTE.LTD.,CC,N,8212,800,99214,2006,PANAMA,25
PRESIDENTWILSON,CMACGMASIASHIPPINGPTE.LTD,CC,N,5780,650,68017,2002,UNITEDSTATES,25
EVERLADEN,EVERGREENMARINECORPORATIONLTD,CC,N,8452,942,104408,2012,PANAMA,25
EVERLIBERAL,EVERGREENMARINECORPORATIONLTD,CC,N,8452,942,104281,2014,UNITEDKINGDOM,25
EVERLOTUS,EVERGREENMARINECORPORATIONLTD,CC,N,8452,942,104262,2013,PANAMA,25
EVERLOVELY,EVERGREENMARINECORPORATIONLTD,CC,N,8508,948,104357,2015,SINGAPORE,25
EVERELITE,EVERGREENMARINECORPORATIONLTD,CC,N,6332,703,75898,2002,UNITEDKINGDOM,25
EVERSHINE,EVERGREENMARINECORPORATIONLTD,CC,N,7024,839,78693,2005,UNITEDKINGDOM,25
EVERSTEADY,EVERGREENMARINECORPORATIONLTD,CC,N,7024,839,78693,2006,SINGAPORE,25
OOCLTAIPEI,ORIENTOVERSEASCONTAINERLINE.,CC,N,8825,700,101589,2015,"HONGKONGSAR,CHINA",26
OOCLUTAH,ORIENTOVERSEASCONTAINERLINE.,CC,N,8825,700,101589,2015,"HONGKONGSAR,CHINA",26
PRESIDENTCLEVELAND,CMACGMASIASHIPPINGPTE.LTD,CC,N,6552,700,84154,2012,UNITEDSTATES,26
PRESIDENTFDROOSEVELT,CMACGMASIASHIPPINGPTE.LTD,CC,N,6589,1162,81002,2010,UNITEDSTATES,26
PRESIDENTTRUMAN,CMACGMASIASHIPPINGPTE.LTD,CC,N,6552,700,84154,2014,UNITEDSTATES,26
OOCLOAKLAND,ORIENTOVERSEASCONTAINERLINE.,CC,N,5888,586,66940,2007,"HONGKONGSAR,CHINA",27
EVEREAGLE,EVERGREENMARINECORPORATIONLTD,CC,N,6332,703,75898,2001,UNITEDKINGDOM,27
,,,,890742,,,,,
